epoch,train_loss,valid_loss,accuracy
1,3.204,2.454,0.26
2,2.579,1.998,0.383
3,2.246,1.843,0.438
4,1.996,1.688,0.475
5,1.781,1.603,0.498
6,1.418,1.443,0.569
7,1.361,1.37,0.606
8,1.335,1.397,0.588
9,1.281,1.36,0.628
10,1.239,1.31,0.622
11,1.193,1.305,0.645
12,1.159,1.36,0.628
13,1.158,1.3,0.626
14,1.126,1.354,0.624
15,1.104,1.27,0.663
16,1.077,1.3,0.651
17,1.022,1.232,0.671
18,0.994,1.232,0.671
19,0.997,1.231,0.686
20,0.98,1.235,0.692
21,0.924,1.185,0.692
22,0.949,1.228,0.679
23,0.896,1.16,0.713
24,0.936,1.25,0.672
25,0.968,1.245,0.679
26,0.917,1.241,0.679
27,0.874,1.206,0.696
28,0.877,1.212,0.699
29,0.853,1.17,0.713
30,0.838,1.205,0.699
31,0.868,1.21,0.696
32,0.844,1.193,0.704
33,0.851,1.194,0.706
34,0.790,1.18,0.715
35,0.825,1.244,0.682
36,0.821,1.168,0.709
37,0.811,1.164,0.712
38,0.865,1.258,0.682
39,0.799,1.162,0.719
40,0.808,1.175,0.712